num objects 1000, num objects 1331, num objects 512, num objects 729
2, 4, 1, 2
1, 2, 0, 0
1, 2, 0, 0
1, 2, 0, 0
1, 1, 0, 0
2, 1, 0, 2
3, 1, 0, 2
1, 3, 0, 2
7, 10, 1, 2
2, 3, 0, 1
3, 3, 1, 1
2, 3, 0, 2
4, 10, 1, 5
1, 3, 0, 1
1, 3, 0, 2
10, 7, 1, 6
2, 2, 0, 2
2, 2, 1, 1
3, 7, 2, 5
1, 2, 1, 1
5, 8, 1, 3
2, 2, 0, 1
5, 5, 2, 5
2, 2, 0, 2
5, 8, 2, 3
2, 2, 1, 1
9, 7, 1, 5
2, 2, 0, 2
6, 7, 1, 4
2, 4, 0, 1
9, 8, 1, 4
3, 2, 0, 2
5, 6, 1, 3
2, 3, 0, 2
5, 8, 1, 4
1, 3, 1, 2
5, 10, 3, 5
2, 5, 1, 1
6, 9, 3, 4
8, 9, 4, 5
5, 8, 2, 2
4, 11, 3, 2
5, 13, 2, 2
5, 6, 2, 2
7, 12, 3, 6
9, 9, 4, 2
6, 10, 3, 6
3, 11, 4, 5
3, 11, 3, 2
3, 5, 2, 4
4, 6, 2, 5
5, 8, 3, 5
8, 6, 3, 2
7, 5, 2, 6
8, 4, 2, 6
9, 4, 3, 4
10, 5, 4, 2
7, 4, 2, 3
8, 5, 3, 5
8, 8, 3, 2
7, 10, 3, 3
5, 8, 3, 3
7, 11, 3, 5
7, 12, 3, 4
6, 12, 3, 2
7, 11, 3, 5
5, 6, 2, 3
6, 10, 2, 3
4, 6, 4, 6
7, 7, 4, 4
9, 4, 3, 7
10, 4, 3, 4
10, 4, 3, 6
10, 4, 3, 3
5, 7, 4, 3
10, 4, 3, 5
6, 5, 4, 2
4, 7, 2, 7
3, 4, 3, 5
4, 6, 2, 3
4, 5, 2, 5
7, 7, 3, 6
4, 5, 4, 4
5, 5, 4, 2
6, 4, 3, 5
4, 5, 3, 7
5, 4, 4, 5
7, 6, 3, 3
6, 11, 3, 4
4, 12, 5, 5
4, 12, 2, 4
4, 13, 3, 5
4, 13, 4, 5
5, 12, 3, 6
4, 11, 5, 4
5, 4, 3, 3
3, 9, 4, 5
4, 9, 5, 5
7, 8, 4, 5
8, 4, 4, 5
7, 4, 2, 5
5, 4, 2, 5
4, 5, 3, 4
4, 6, 2, 3
4, 5, 4, 2
4, 7, 5, 5
4, 5, 3, 4
5, 11, 5, 7
8, 9, 4, 3
8, 6, 5, 7
5, 5, 4, 6
7, 5, 5, 4
5, 6, 3, 7
12, 6, 5, 4
6, 8, 3, 8
6, 14, 8, 8
6, 10, 4, 4
6, 11, 5, 4
9, 15, 4, 4
7, 16, 7, 5
7, 8, 7, 9
11, 9, 9, 9
8, 8, 10, 5
9, 9, 9, 5
7, 9, 4, 7
8, 9, 4, 6
9, 9, 9, 7
8, 9, 5, 5
8, 10, 6, 6
11, 11, 7, 15
8, 12, 9, 14
8, 15, 7, 7
9, 16, 7, 6
9, 20, 7, 7
9, 13, 7, 6
9, 13, 10, 7
10, 20, 8, 8
10, 26, 6, 7
10, 15, 10, 11
10, 18, 9, 7
11, 27, 7, 7
11, 21, 6, 7
11, 16, 9, 10
10, 15, 6, 7
11, 18, 6, 7
11, 16, 5, 7
11, 23, 9, 10
11, 33, 6, 13
11, 20, 7, 9
11, 23, 10, 9
11, 19, 8, 11
10, 25, 5, 10
10, 22, 4, 7
11, 17, 4, 9
10, 16, 5, 6
10, 23, 4, 6
10, 19, 4, 6
10, 18, 4, 12
11, 17, 5, 13
10, 18, 7, 7
11, 16, 4, 7
10, 20, 4, 7
10, 17, 4, 9
10, 16, 4, 10
13, 16, 7, 6
11, 16, 4, 6
10, 15, 6, 11
10, 15, 6, 6
9, 15, 5, 6
9, 14, 6, 9
9, 14, 7, 8
9, 15, 4, 6
9, 15, 6, 6
9, 14, 6, 6
11, 14, 7, 9
10, 15, 6, 6
10, 18, 5, 5
9, 14, 7, 10
9, 15, 10, 7
9, 14, 6, 5
10, 14, 6, 5
9, 13, 6, 11
11, 13, 5, 8
10, 14, 6, 5
9, 13, 8, 5
9, 13, 6, 8
8, 14, 6, 6
9, 13, 8, 7
8, 14, 5, 11
11, 13, 8, 7
9, 13, 5, 5
9, 13, 8, 6
9, 12, 6, 10
9, 13, 7, 5
9, 13, 8, 5
9, 13, 4, 11
9, 12, 4, 9
9, 14, 4, 6
10, 16, 6, 7
21, 13, 9, 5
16, 13, 5, 5
17, 12, 6, 9
22, 12, 9, 8
14, 12, 6, 11
12, 16, 6, 8
12, 14, 8, 6
9, 12, 7, 5
8, 12, 10, 8
8, 12, 4, 5
8, 12, 3, 6
9, 13, 4, 11
8, 13, 4, 8
8, 14, 6, 5
11, 14, 7, 5
9, 13, 6, 6
9, 18, 7, 7
13, 15, 7, 8
15, 13, 8, 6
15, 14, 4, 11
12, 13, 5, 8
10, 23, 4, 8
10, 16, 7, 7
8, 12, 6, 8
9, 13, 5, 8
9, 13, 7, 9
9, 13, 6, 9
9, 13, 8, 5
9, 13, 5, 8
9, 13, 8, 9
8, 13, 5, 9
10, 13, 3, 8
15, 17, 7, 7
15, 16, 7, 11
9, 14, 6, 6
9, 22, 8, 7
9, 17, 6, 9
10, 17, 5, 6
11, 14, 5, 8
13, 14, 7, 8
10, 14, 9, 6
, 14, , , 
