num objects 1000, num objects 1331, num objects 512, num objects 729
2, 4, 8, 1
1, 2, 2, 0
2, 3, 2, 1
2, 3, 2, 1
3, 3, 2, 1
3, 3, 2, 2
3, 3, 2, 2
3, 3, 1, 2
8, 10, 1, 6
3, 3, 0, 2
3, 4, 0, 2
3, 4, 0, 2
9, 12, 1, 6
2, 4, 0, 2
3, 4, 0, 2
8, 13, 1, 5
3, 4, 0, 2
3, 4, 0, 2
9, 13, 1, 6
4, 4, 1, 3
9, 9, 3, 7
3, 3, 2, 2
9, 9, 4, 7
3, 4, 2, 1
9, 6, 3, 3
3, 1, 2, 1
9, 8, 4, 6
3, 5, 2, 2
8, 10, 4, 6
3, 5, 1, 2
9, 10, 4, 6
2, 5, 1, 2
4, 10, 2, 5
3, 5, 1, 1
9, 10, 2, 3
3, 4, 1, 2
9, 8, 4, 5
4, 5, 0, 2
12, 11, 2, 5
12, 14, 4, 4
9, 13, 4, 3
9, 13, 3, 3
10, 13, 3, 3
10, 12, 2, 3
11, 12, 4, 3
9, 12, 4, 6
9, 11, 2, 2
9, 12, 4, 4
9, 8, 4, 4
8, 5, 4, 5
8, 8, 4, 6
7, 12, 4, 6
8, 12, 4, 7
8, 11, 4, 9
8, 11, 3, 6
7, 10, 4, 5
9, 10, 4, 7
10, 11, 4, 8
11, 12, 1, 9
9, 9, 4, 5
8, 8, 3, 3
9, 13, 2, 2
9, 13, 1, 6
9, 9, 3, 7
9, 9, 4, 5
8, 5, 4, 4
8, 4, 4, 6
10, 4, 4, 7
11, 5, 3, 8
10, 5, 4, 7
12, 5, 4, 8
12, 5, 5, 8
12, 7, 5, 8
11, 6, 4, 7
11, 6, 5, 8
7, 10, 4, 7
8, 12, 4, 8
12, 13, 5, 8
12, 14, 5, 7
8, 14, 5, 8
4, 14, 6, 8
5, 12, 5, 6
5, 12, 4, 7
5, 12, 5, 8
6, 12, 5, 7
8, 13, 6, 7
9, 12, 6, 7
12, 12, 4, 7
12, 13, 3, 8
11, 13, 2, 8
10, 10, 2, 8
10, 7, 5, 8
11, 6, 5, 7
11, 5, 5, 7
12, 6, 4, 7
12, 5, 5, 7
11, 5, 3, 7
12, 5, 6, 7
12, 6, 6, 7
12, 5, 5, 7
12, 6, 5, 8
10, 11, 5, 7
11, 11, 5, 8
11, 13, 4, 6
8, 13, 5, 7
10, 13, 5, 5
11, 13, 5, 7
12, 12, 5, 7
13, 9, 3, 7
10, 13, 4, 7
9, 15, 4, 7
10, 15, 3, 8
8, 14, 5, 9
6, 15, 5, 9
5, 9, 5, 8
6, 8, 5, 9
5, 10, 5, 9
16, 15, 6, 9
15, 15, 5, 9
15, 16, 7, 8
14, 16, 5, 7
15, 17, 6, 7
14, 15, 5, 4
13, 17, 6, 5
10, 15, 4, 4
11, 17, 3, 10
16, 19, 3, 9
16, 20, 2, 10
11, 11, 2, 9
6, 9, 5, 10
5, 8, 5, 7
5, 7, 6, 4
6, 8, 6, 8
5, 7, 5, 8
5, 6, 5, 5
5, 6, 5, 6
5, 7, 6, 4
6, 6, 2, 3
5, 5, 2, 6
8, 6, 2, 5
11, 7, 5, 6
11, 6, 5, 4
10, 6, 6, 4
6, 7, 5, 7
7, 7, 5, 7
10, 6, 5, 7
6, 6, 5, 7
10, 6, 5, 6
11, 8, 5, 8
11, 6, 5, 6
11, 6, 4, 5
8, 11, 5, 4
7, 12, 5, 6
5, 13, 5, 7
5, 14, 5, 7
4, 10, 5, 7
5, 7, 5, 8
5, 6, 5, 7
11, 5, 5, 7
11, 5, 7, 5
11, 5, 6, 6
11, 6, 6, 5
12, 8, 6, 4
12, 9, 6, 7
10, 12, 5, 7
6, 13, 5, 6
4, 15, 5, 9
4, 15, 5, 8
6, 15, 5, 8
6, 15, 6, 7
11, 15, 5, 7
12, 15, 6, 6
13, 15, 6, 8
12, 14, 6, 7
13, 15, 6, 7
9, 14, 6, 7
6, 14, 6, 7
5, 13, 6, 6
6, 13, 6, 7
5, 14, 5, 8
9, 15, 4, 8
11, 15, 3, 7
8, 9, 3, 7
10, 7, 3, 8
11, 5, 3, 7
8, 5, 3, 5
6, 6, 2, 4
5, 7, 2, 5
5, 6, 5, 4
7, 6, 5, 6
9, 6, 4, 5
12, 6, 3, 7
12, 6, 2, 6
9, 5, 2, 2
7, 5, 1, 6
5, 6, 4, 7
5, 7, 3, 6
5, 4, 3, 7
7, 10, 5, 3
4, 11, 3, 5
5, 11, 3, 3
4, 10, 3, 6
5, 12, 3, 4
4, 6, 2, 4
8, 5, 3, 4
5, 6, 2, 4
5, 10, 3, 3
5, 11, 2, 5
4, 11, 2, 3
5, 9, 1, 4
4, 9, 2, 3
5, 9, 2, 4
8, 8, 2, 3
2, 4, 2, 4
5, 10, 2, 2
2, 6, 2, 4
8, 8, 2, 3
3, 7, 1, 3
8, 7, 2, 2
6, 6, 2, 2
4, 8, 2, 3
3, 6, 2, 4
3, 9, 2, 3
4, 7, 2, 4
4, 7, 2, 2
3, 7, 3, 3
3, 7, 2, 3
2, 6, 2, 2
2, 7, 2, 3
5, 6, 2, 3
5, 5, 2, 2
4, 2, 1, 1
6, 7, 3, 3
5, 5, 2, 3
4, 7, 1, 3
5, 5, 0, 2
6, 8, 1, 2
4, 6, 0, 1
3, 7, 1, 2
4, 6, 1, 2
, 7, , , 
