num objects 1000, num objects 1331, num objects 512, num objects 729
18, 25, 8, 18
4, 5, 11, 2
3, 5, 1, 2
4, 5, 2, 2
4, 4, 2, 2
3, 5, 2, 2
5, 5, 2, 5
5, 4, 2, 6
4, 5, 2, 3
5, 5, 3, 4
9, 4, 4, 4
8, 10, 4, 4
11, 7, 5, 6
8, 5, 4, 5
11, 6, 5, 5
11, 6, 2, 7
10, 5, 4, 5
13, 9, 6, 3
12, 7, 5, 2
13, 8, 3, 7
12, 8, 3, 6
11, 5, 6, 4
12, 5, 4, 3
12, 7, 3, 4
8, 7, 6, 5
10, 4, 6, 5
12, 7, 3, 8
7, 6, 6, 3
11, 11, 6, 2
12, 9, 4, 8
11, 7, 4, 6
8, 6, 4, 4
10, 4, 4, 2
8, 5, 3, 5
6, 4, 2, 4
6, 5, 6, 3
9, 7, 6, 8
10, 6, 3, 4
7, 5, 5, 6
11, 7, 4, 4
10, 5, 7, 5
10, 8, 5, 4
8, 4, 3, 8
11, 4, 2, 5
6, 7, 2, 7
4, 5, 2, 8
4, 5, 6, 5
4, 8, 5, 4
6, 5, 6, 3
9, 5, 5, 6
7, 4, 4, 4
5, 6, 4, 8
12, 5, 5, 5
8, 4, 6, 2
10, 4, 3, 2
12, 5, 4, 6
12, 4, 3, 7
10, 6, 3, 4
6, 8, 3, 3
8, 4, 6, 3
10, 4, 3, 6
11, 4, 4, 3
12, 5, 3, 8
11, 7, 2, 5
10, 4, 7, 2
8, 5, 4, 3
6, 5, 2, 9
4, 6, 5, 7
3, 5, 2, 5
3, 5, 2, 3
3, 8, 6, 2
3, 5, 6, 2
6, 5, 3, 3
7, 5, 2, 6
8, 4, 2, 5
4, 4, 5, 6
5, 8, 3, 4
6, 6, 3, 3
3, 4, 6, 2
6, 4, 3, 6
5, 5, 2, 3
3, 4, 4, 3
4, 5, 5, 7
4, 6, 4, 6
7, 6, 6, 3
3, 4, 4, 4
8, 4, 3, 8
7, 4, 5, 7
5, 5, 5, 6
3, 4, 5, 3
4, 7, 5, 2
3, 4, 5, 4
6, 4, 4, 7
7, 4, 3, 8
5, 5, 2, 5
3, 6, 6, 3
6, 6, 3, 3
7, 7, 5, 2
4, 4, 4, 5
4, 4, 6, 4
4, 6, 3, 9
5, 7, 2, 8
6, 5, 6, 6
4, 4, 5, 5
5, 5, 3, 3
8, 5, 2, 3
10, 6, 2, 3
10, 14, 8, 7
3, 8, 8, 3
4, 6, 8, 4
3, 5, 4, 3
5, 5, 9, 10
7, 4, 7, 6
7, 5, 3, 8
3, 4, 3, 6
9, 11, 3, 8
5, 8, 3, 8
9, 14, 3, 10
5, 7, 3, 6
5, 11, 3, 8
4, 10, 2, 3
9, 14, 8, 4
10, 15, 6, 3
13, 18, 7, 7
9, 14, 4, 6
6, 12, 6, 10
5, 7, 3, 8
7, 13, 4, 10
4, 7, 3, 8
6, 11, 4, 5
4, 10, 4, 4
6, 13, 4, 3
7, 10, 4, 8
8, 15, 3, 7
8, 14, 3, 7
9, 15, 3, 8
12, 10, 4, 9
8, 8, 3, 10
7, 12, 4, 5
9, 11, 2, 6
9, 13, 4, 7
13, 11, 3, 5
11, 7, 4, 5
8, 12, 5, 7
10, 13, 6, 3
10, 18, 5, 4
13, 14, 3, 9
13, 9, 6, 6
13, 9, 5, 8
13, 11, 5, 6
11, 13, 5, 5
9, 9, 6, 4
10, 8, 5, 5
9, 9, 7, 6
9, 11, 4, 9
7, 15, 2, 9
10, 11, 4, 7
8, 8, 2, 4
11, 13, 4, 3
9, 13, 7, 3
5, 16, 4, 4
7, 14, 2, 8
6, 17, 7, 9
11, 14, 4, 5
11, 12, 4, 3
10, 17, 5, 7
10, 17, 6, 5
9, 14, 4, 7
10, 11, 5, 7
12, 16, 6, 4
11, 15, 3, 3
13, 18, 3, 4
12, 15, 6, 6
7, 10, 6, 7
9, 14, 4, 4
6, 17, 2, 3
6, 13, 5, 3
7, 7, 7, 9
6, 6, 3, 5
9, 10, 3, 6
6, 10, 6, 8
10, 12, 5, 3
12, 12, 6, 3
9, 10, 3, 7
11, 8, 4, 4
9, 12, 5, 8
8, 13, 4, 4
10, 12, 2, 7
12, 10, 5, 5
11, 10, 3, 6
10, 11, 5, 9
6, 7, 5, 8
6, 8, 4, 7
6, 8, 6, 4
9, 12, 3, 6
10, 10, 3, 3
8, 10, 6, 3
11, 6, 5, 4
10, 6, 5, 10
10, 5, 4, 9
13, 5, 6, 5
13, 6, 3, 6
13, 6, 6, 9
13, 5, 7, 5
12, 6, 4, 7
13, 7, 7, 9
10, 9, 3, 9
11, 6, 5, 9
13, 6, 4, 9
14, 8, 5, 8
13, 10, 5, 7
11, 9, 4, 9
10, 9, 5, 8
11, 11, 4, 8
11, 15, 2, 5
7, 16, 5, 5
6, 17, 4, 4
4, 17, 3, 3
7, 14, 6, 5
6, 16, 6, 5
6, 17, 3, 6
4, 16, 3, 8
6, 7, 6, 4
5, 8, 7, 6
9, 6, 6, 7
8, 5, 7, 5
10, 6, 4, 4
11, 6, 2, 5
8, 6, 5, 5
10, 6, 6, 5
10, 9, 4, 3
8, 9, 3, 7
10, 15, 5, 4
12, 13, 3, 3
10, 17, 5, 5
9, 13, 5, 6
9, 17, 6, 3
11, 18, 3, 3
7, 13, 7, 5
9, 14, 3, 10
5, 17, , 7
, 15, , , 
