num objects 1000, num objects 512, num objects 729
2, 1, 1
1, 0, 0
0, 0, 0
1, 0, 0
1, 0, 1
0, 0, 1
0, 0, 2
1, 0, 1
2, 1, 3
1, 0, 0
1, 1, 1
2, 1, 0
8, 3, 2
2, 1, 0
1, 1, 0
3, 3, 1
1, 2, 0
2, 1, 0
7, 3, 2
2, 1, 0
3, 3, 2
1, 0, 0
4, 2, 2
3, 0, 0
8, 2, 2
3, 0, 0
8, 3, 2
3, 1, 1
4, 3, 2
1, 1, 1
2, 3, 5
1, 1, 2
3, 3, 2
1, 1, 2
5, 4, 5
1, 1, 1
8, 3, 6
2, 1, 1
5, 3, 4
5, 4, 3
6, 3, 3
7, 2, 4
6, 2, 5
5, 3, 5
4, 2, 2
5, 2, 4
8, 3, 4
4, 3, 3
3, 3, 5
9, 3, 4
6, 2, 5
4, 2, 2
3, 1, 2
7, 1, 2
6, 2, 5
5, 1, 5
, 1, 3
, 3, 4
, 3, 5
, 2, 3
, 2, 2
, 2, 6
, 3, 3
, 1, 2
, 1, 5
, 3, 4
, 2, 2
, 3, 4
, 2, 6
, 4, 4
, 3, 7
, 4, 6
, 2, 3
, 3, 4
, 1, 5
, 1, 5
, 3, 6
, 4, 2
, 4, 4
, 4, 5
, 3, 5
, 4, 4
, 4, 7
, 3, 5
, 3, 4
, 1, 3
, 4, 5
, 3, 3
, 3, 5
, 2, 3
, 4, 5
, 1, 5
, 4, 5
, 4, 3
, 4, 4
, 4, 5
, 4, 6
, 3, 7
, 3, 5
, 3, 4
, 2, 3
, 2, 2
, 1, 4
, 1, 5
, 3, 6
, 5, 3
, 4, 6
, 3, 5
, 2, 4
, 3, 4
, 2, 8
, 6, 9
, 4, 5
, 4, 5
, 6, 4
, 4, 6
, 4, 7
, 5, 4
, 6, 6
, 3, 5
, 5, 4
, 4, 8
, 5, 4
, 5, 8
, 4, 5
, 6, 9
, 6, 6
, 5, 9
, 7, 13
, 8, 12
, 8, 14
, 7, 8
, 10, 9
, 9, 8
, 5, 11
, 8, 15
, 10, 13
, 10, 12
, 7, 12
, 9, 13
, 11, 13
, 8, 13
, 11, 14
, 11, 14
, 11, 14
, 11, 15
, 12, 17
, 15, 20
, 12, 17
, 12, 18
, 12, 18
, 12, 20
, 12, 21
, 12, 19
, 12, 19
, 12, 19
, 12, 21
, 12, 21
, 12, 21
, 11, 22
, 11, 21
, 12, 22
, 12, 22
, 12, 21
, 12, 23
, 11, 23
, 11, 22
, 11, 22
, 11, 26
, 11, 21
, 11, 21
, 11, 21
, 11, 21
, 12, 21
, 11, 21
, 13, 22
, 10, 22
, 12, 20
, 10, 20
, 10, 21
, 11, 22
, 11, 21
, 11, 27
, 11, 39
, 11, 27
, 11, 21
, 12, 22
, 12, 20
, 12, 21
, 12, 28
, 12, 20
, 12, 21
, 12, 20
, 12, 20
, 12, 20
, 12, 21
, 12, 22
, 12, 21
, 12, 20
, 12, 20
, 12, 20
, 12, 19
, 13, 20
, 12, 21
, 13, 28
, 12, 34
, 12, 22
, 12, 20
, 12, 19
, 14, 19
, 15, 19
, 13, 19
, 12, 19
, 12, 19
, 12, 19
, 12, 20
, 12, 19
, 13, 18
, 12, 19
, 12, 19
, 12, 19
, 12, 19
, 12, 19
, 12, 19
, 12, 18
, 12, 19
, 13, 19
, 13, 19
, 12, 19
, 12, 19
, 12, 18
, 12, 18
, 11, 18
, 11, 19
, 11, 19
, 12, 18
, 12, 18
, 12, 18
, 13, 18
, 14, 19
, , 18
, , 18
